student_id,akt_kode,fortolket_res,termin,belastning
8826,2411,bestået,F20,5
8826,28480,bestået,E19,10
8826,2443,bestået,F20,5
8826,27455,bestået,F20,5
8825,27430,bestået,E19,5
8825,27322,bestået,F20,10
8825,27422,bestået,F20,5
8825,27230,bestået,E19,5
8825,28233,bestået,E19,5
8825,27255,bestået,F20,5
8825,28480,bestået,E19,10
8825,27423,bestået,E19,5
8824,27430,bestået,E19,5
8824,28855,bestået,F20,5
8824,23532,bestået,F20,5
8824,27322,bestået,F20,10
8824,28345,bestået,F20,5
8824,27641,bestået,E19,5
8824,28233,bestået,E19,5
8824,28480,bestået,E19,10
8824,27423,bestået,E19,5
8824,27455,bestået,F20,5
8823,27430,ikke bestået,E19,5
8823,28855,forsøg,F20,5
8823,28855,bestået,F20,5
8823,28855,forsøg,F20,5
8823,27102,bestået,F20,5
8823,27322,bestået,F20,10
8823,27419,bestået,F20,5
8823,28480,bestået,E19,10
8823,27423,bestået,E19,5
8823,27455,bestået,F20,5
8822,28855,bestået,F18,5
8822,27220,bestået,F20,5
8822,27460,bestået,E19,5
8822,27422,bestået,F20,5
8822,27230,bestået,E19,5
8822,27419,bestået,F20,5
8822,28233,bestået,E19,5
8822,27405,bestået,E17,10
8822,28480,bestået,E19,10
8822,22117,bestået,F20,5
8821,27430,bestået,E19,5
8821,28855,bestået,F20,5
8821,27432,bestået,E19,5
8821,27322,bestået,F19,10
8821,27230,forsøg,E19,5
8821,27230,bestået,F20,5
8821,27641,bestået,E19,5
8821,27419,bestået,F20,5
8821,27324,bestået,F19,5
8821,27423,bestået,E19,5
8821,27455,forsøg,F20,5
8821,27455,bestået,F20,5
8820,28855,bestået,F20,5
8820,27102,bestået,F20,5
8820,27246,bestået,E19,5
8820,27322,bestået,F20,10
8820,27230,bestået,E19,5
8820,27419,bestået,F20,5
8820,28233,bestået,E19,5
8820,28480,bestået,E19,10
8820,23205,bestået,E19,5
8820,S27-05-1,bestået,E19,5
8820,27455,bestået,F20,5
8819,S22-10-1,bestået,E19,10
8819,27220,bestået,F20,5
8819,27422,bestået,F20,5
8819,S27-05-2,bestået,E19,5
8819,27230,bestået,E19,5
8819,2411,bestået,F20,5
8819,28480,bestået,E19,10
8819,S27-10-2,bestået,F20,10
8818,27430,bestået,E19,5
8818,28855,bestået,F20,5
8818,27102,bestået,F20,5
8818,27220,bestået,F20,5
8818,27322,bestået,F20,10
8818,27641,bestået,E19,5
8818,27419,bestået,F20,5
8818,28480,bestået,E19,10
8818,23205,bestået,E19,5
8818,27423,bestået,E19,5
8815,27430,bestået,E19,5
8815,28855,bestået,F20,5
8815,28345,bestået,F20,5
8815,27641,bestået,E19,5
8815,28233,bestået,E19,5
8815,27255,bestået,F20,5
8815,27405,bestået,E19,10
8815,28480,bestået,E19,10
8815,27455,bestået,F20,5
8814,27430,bestået,E19,5
8814,23281,bestået,E19,5
8814,27102,bestået,F20,5
8814,27220,bestået,F20,5
8814,27322,bestået,F20,10
8814,27641,bestået,E19,5
8814,28480,bestået,E19,10
8814,23205,bestået,E19,5
8813,28855,bestået,F20,5
8813,23532,bestået,F20,5
8813,27460,bestået,E19,5
8813,28345,bestået,F20,5
8813,27230,ikke bestået,E19,5
8813,28233,bestået,E19,5
8813,27255,bestået,F20,5
8813,28480,bestået,E19,10
8813,27423,bestået,E19,5
8813,27455,bestået,F20,5
8812,27430,ikke bestået,E19,5
8812,28855,bestået,F20,5
8812,28345,bestået,F20,5
8812,27230,ikke bestået,E19,5
8812,28233,forsøg,E19,5
8812,28233,bestået,E19,5
8812,28480,bestået,E19,10
8812,27455,bestået,F20,5
8811,27460,bestået,E19,5
8811,27322,bestået,F20,10
8811,27422,bestået,F20,5
8811,28345,bestået,F20,5
8811,27230,ikke bestået,E19,5
8811,27419,bestået,F20,5
8811,28480,bestået,E19,10
8811,27423,bestået,E19,5
8811,27455,bestået,F20,5
8810,S23-10-1,bestået,E19,10
8810,27626,bestået,F16,5
8810,36683,bestået,F18,5
8810,22145,bestået,E19,5
8810,23258,bestået,F16,5
8810,27322,bestået,F16,10
8810,27422,forsøg,F20,5
8810,27422,ikke bestået,F20,5
8810,27230,forsøg,E16,5
8810,27641,bestået,E19,5
8810,27419,forsøg,F18,5
8810,27419,forsøg,F18,5
8810,27419,forsøg,F19,5
8810,27419,ikke bestået,F20,5
8810,27419,forsøg,F20,5
8810,24102,bestået,F18,5
8810,27250,forsøg,E16,5
8810,27250,bestået,E19,5
8807,27422,bestået,F20,5
8807,28345,bestået,F20,5
8807,2411,bestået,F20,5
8807,22117,bestået,F20,5
8807,27455,bestået,F20,5
8805,28855,bestået,F20,5
8805,28345,bestået,F20,5
8805,2411,bestået,F20,5
8805,28480,bestået,E19,10
8805,2443,bestået,F20,5
8804,27430,bestået,E19,5
8804,28855,bestået,F20,5
8804,27322,bestået,F20,10
8804,27230,bestået,E19,5
8804,27405,bestået,E19,10
8804,S28-05-1,bestået,F20,5
8804,27455,bestået,F20,5
8803,27430,bestået,E19,5
8803,22230,bestået,F20,5
8803,27220,bestået,F20,5
8803,27322,bestået,F20,10
8803,27230,bestået,E19,5
8803,27250,bestået,E19,5
8803,28480,bestået,E19,10
8802,27430,bestået,E19,5
8802,22230,bestået,F20,5
8802,27460,bestået,E19,5
8802,27422,bestået,F20,5
8802,27419,bestået,F20,5
8802,27405,bestået,E19,10
8802,28480,bestået,E19,10
8802,42429,bestået,F20,5
8802,S27-20-1,ikke bestået,F20,20
8802,27455,bestået,F20,5
8801,27220,bestået,F20,5
8801,27432,bestået,E19,5
8801,27460,bestået,E19,5
8801,27322,bestået,F20,10
8801,27230,bestået,E19,5
8801,27250,bestået,E19,5
8801,23205,bestået,E19,5
8799,22230,bestået,F20,5
8799,28855,bestået,F20,5
8799,27102,bestået,F20,5
8799,27220,bestået,F20,5
8799,27460,bestået,E19,5
8799,27322,bestået,F20,10
8799,27230,bestået,E19,5
8799,27641,bestået,E19,5
8799,27250,bestået,E19,5
8799,28480,bestået,E19,10
8799,23205,bestået,E19,5
8798,22230,bestået,F20,5
8798,27303,bestået,E19,5
8798,27034,ikke bestået,F20,5
8798,27322,bestået,F20,10
8798,27230,bestået,E19,5
8798,27250,bestået,E19,5
8798,28480,bestået,E19,10
8798,27423,bestået,E19,5
8797,27220,bestået,F20,5
8797,27432,bestået,E19,5
8797,27460,bestået,E19,5
8797,27322,bestået,F20,10
8797,27230,bestået,E19,5
8797,27250,bestået,E19,5
8797,23205,bestået,E19,5
8797,S27-05-1,ikke bestået,F20,5
8796,27422,bestået,F20,5
8796,27220,bestået,F20,5
8796,27432,bestået,E19,5
8796,27460,bestået,E19,5
8796,27322,bestået,F20,10
8796,27422,forsøg,F20,5
8796,27230,bestået,E19,5
8796,27250,bestået,E19,5
8796,23205,bestået,E19,5
8795,27430,bestået,E19,5
8795,28855,bestået,F20,5
8795,27102,bestået,F20,5
8795,27246,bestået,F20,5
8795,27246,forsøg,E19,5
8795,28233,bestået,E19,5
8795,26436,bestået,E19,10
8795,23205,bestået,E19,5
8795,22117,bestået,F20,5
8795,22207-1,bestået,E19,5
8795,27455,bestået,F20,5
8794,28855,bestået,F20,5
8794,28345,bestået,F20,5
8794,2411,bestået,F20,5
8794,27455,bestået,F20,5
8791,28855,forsøg,F20,5
8791,28855,bestået,F20,5
8791,27303,ikke bestået,E19,5
8791,27460,bestået,E19,5
8791,27322,bestået,F19,10
8791,28345,bestået,F20,5
8791,27419,forsøg,F19,5
8791,27419,ikke bestået,F20,5
8791,27405,bestået,E19,10
8791,26125,ikke bestået,F19,5
8791,23206,bestået,F19,5
8791,28480,bestået,E19,10
8791,27324,bestået,F19,5
8791,27455,bestået,F20,5
8790,22230,bestået,F20,5
8790,28855,bestået,F20,5
8790,27102,bestået,F20,5
8790,27460,bestået,E19,5
8790,27322,bestået,F20,10
8790,27641,bestået,E19,5
8790,2411,bestået,E19,5
8790,28480,bestået,E19,10
8790,23205,bestået,E19,5
8790,22235,bestået,F20,5
8786,27430,bestået,E19,5
8786,28855,bestået,F20,5
8786,S27-05-2,bestået,F20,5
8786,27230,bestået,E19,5
8786,2411,bestået,F20,5
8786,S27-05-1,bestået,F20,5
8786,27455,bestået,F20,5
8785,27405,bestået,E19,10
8785,28480,bestået,E19,10
8784,28855,bestået,F20,5
8784,27255,bestået,F20,5
8784,12136,bestået,F20,10
8784,27455,bestået,F20,5
8782,88383,bestået,E19,2.5
8782,10603,bestået,F20,5
8782,23255,bestået,F20,5
8781,27430,bestået,E19,5
8781,27220,bestået,F20,5
8781,27432,bestået,E19,5
8781,27422,bestået,F19,5
8781,S27-10-1,ikke bestået,F20,10
8781,27230,forsøg,E19,5
8781,27230,bestået,F20,5
8781,27405,forsøg,E19,10
8781,27405,bestået,F20,10
8781,27423,bestået,E19,5
8781,28871,bestået,F19,10
8780,S42-05-1,bestået,F20,5
8780,28855,bestået,F20,5
8780,23532,bestået,F20,5
8780,28345,bestået,F20,5
8780,28233,bestået,E19,5
8780,28480,bestået,E19,10
8780,27423,bestået,E19,5
8780,S27-05-1,bestået,E19,5
8780,27455,bestået,F20,5
8778,27430,bestået,E19,5
8778,28855,bestået,F20,5
8778,27460,bestået,E19,5
8778,27322,bestået,F20,10
8778,28345,bestået,F20,5
8778,27419,bestået,F20,5
8778,28480,bestået,E19,10
8778,23205,bestået,E19,5
8778,27423,bestået,E19,5
8778,27455,bestået,F20,5
8777,27430,bestået,E19,5
8777,23532,bestået,F20,5
8777,27322,bestået,F20,10
8777,27230,bestået,E19,5
8777,2411,forsøg,F20,5
8777,2411,bestået,F20,5
8777,27455,bestået,F20,5
8776,33442,bestået,E18,5
8776,S22-10-1,bestået,E19,10
8776,27220,bestået,F19,5
8776,26438,bestået,E17,5
8776,27432,bestået,E17,5
8776,33902,bestået,F19,5
8776,23258,bestået,F19,5
8776,23258,forsøg,F19,5
8776,27322,bestået,F18,10
8776,27422,bestået,F20,5
8776,24102,bestået,F18,5
8776,27405,bestået,E19,10
8776,S22-05-1,bestået,F19,5
8776,26290,bestået,E19,5
8776,26261,bestået,E17,5
8775,27430,bestået,E19,5
8775,27460,bestået,E19,5
8775,27322,bestået,F20,10
8775,S27-05-2,bestået,F20,5
8775,S27-05-3,bestået,F20,5
8775,27250,forsøg,E19,5
8775,27250,bestået,F20,5
8775,28480,bestået,E19,10
8774,27430,bestået,E19,5
8774,23258,bestået,F20,5
8774,27322,bestået,F20,10
8774,S27-05-2,bestået,F20,5
8774,27230,bestået,E19,5
8774,2411,bestået,F20,5
8774,28480,bestået,E19,10
8774,S27-05-1,bestået,F20,5
8773,22230,bestået,F20,5
